NO,의원명,업무구분,대표전화,주소,평일 진료,토요일 진료,일요일 진료,공휴일 진료,위도,경도
7630,김종훈치과의원,치과,02-807-6579,"서울특별시 금천구 시흥대로2길 8, (시흥동)",10:00~18:00,10:00~13:00,-,-,37.4346816,126.9038157
10285,한양정형외과의원,의원,02-806-0953,서울특별시 금천구 시흥대로 82 (시흥동),09:00~18:30,09:00~13:00,-,-,37.4414509,126.9038322
6842,다소담한의원,한의원,02-808-5577,"서울특별시 금천구 시흥대로 90, 2층 (시흥동, 정송빌딩)",09:00~18:00,09:00~15:00,-,-,37.44213,126.9039319
7627,김재은의원,의원,02-803-0461,"서울특별시 금천구 시흥대로 92, (시흥동)",09:30~18:00,09:30~13:00,-,-,37.4422911,126.9040531
7452,카톨릭의원,의원,02-895-9880,"서울특별시 금천구 시흥대로 104, 4층 (시흥동)",09:30~18:00,09:30~14:00,-,-,37.4433654,126.9041357
12083,시흥연세치과의원,치과,02-805-7025,서울특별시 금천구 시흥대로 97,09:30~18:30,09:30~14:00,-,-,37.4438361,126.901495
3943,청계산트리니티의원,의원,02-6978-9299,"서울특별시 서초구 원터2길 4, 2층 (원지동)",09:30~18:30,09:00~13:00,-,-,37.4442589,127.0564118
7947,느티나무치과의원,치과,02-515-7714,"서울특별시 서초구 청룡마을길 4-3, 1층 (신원동)",10:00~18:00,10:00~14:00,-,-,37.445616,127.0581606
13199,한양치과의원,치과,02-802-2996,서울특별시 금천구 시흥대로 143,10:00~18:30,-,-,-,37.4469311,126.9030691
7030,이레한의원,한의원,02-891-7975,"서울특별시 금천구 시흥대로 143, 206호 (시흥동, 신라상가)",09:30~18:30,09:30~14:00,-,-,37.4469311,126.9030691
16083,사랑이가득한치과의원,치과,02-3432-2875,"서울특별시 서초구 청계산로 203, 303호 (신원동)",10:00~18:00,10:00~13:30,-,-,37.4472788,127.0562714
7557,연세가정의원,의원,02-893-2001,"서울특별시 금천구 시흥대로 153, (시흥동)",09:00~19:00,09:00~13:00,-,-,37.4476642,126.9028522
15548,이화문의원,의원,02-574-6330,"서울특별시 서초구 청계산로 195, 2층 205,206(일부)호 (신원동, 프라임시티)",09:30~18:30,09:30~13:00,-,-,37.4479259,127.0557274
4481,한국치과의원,치과,02-529-2877,"서울특별시 서초구 청계산로 195, 2층 201호 (신원동, 프라임시티)",10:00~18:30,10:00~14:00,-,-,37.4479259,127.0557274
569,임홍준한의원,한의원,02-576-5575,"서울특별시 서초구 청계산로 195, 2층 207호 (신원동, 프라임시티)",09:30~18:30,09:30~13:30,-,-,37.4479259,127.0557274
11293,내곡소아청소년과의원,의원,02-572-7582,서울특별시 서초구 청계산로 189,08:30~19:00,08:30~14:00,-,-,37.4483028,127.0554166
12253,연세내곡치과의원,치과,02-572-2275,서울특별시 서초구 청계산로 189,09:30~18:30,09:30~13:30,-,-,37.4483028,127.0554166
1800,유명한의원,한의원,02-895-1188,"서울특별시 금천구 시흥대로 163, 201~3호 (시흥동, S.A 드림빌)",09:30~21:00,09:30~14:00,-,-,37.4484774,126.9024741
16555,하나수의원,의원,02-894-1189,"서울특별시 금천구 금하로 816, 2층 201호 (시흥동, 벽산5단지아파트)",09:30~18:30,09:30~16:00,-,-,37.4487957,126.919212
9552,삼성서울치과의원,치과,02-892-2879,서울특별시 금천구 금하로 816,10:00~18:00,10:00~14:00,-,-,37.4487957,126.919212
3597,열린치과의원,치과,02-808-8275,서울특별시 금천구 시흥대로 167,10:00~19:00,10:00~14:00,-,-,37.4488271,126.9024259
2478,경희스마일한의원,한의원,02-809-7780,"서울특별시 금천구 시흥대로 164, 401호 (시흥동, 153플레이스빌딩)",09:30~19:00,09:30~14:00,-,-,37.4489196,126.90326
12304,연세안과의원,의원,02-809-8871,서울특별시 금천구 금하로 762,09:30~18:30,09:30~15:00,-,-,37.449895,126.9143447
12296,연세스마일치과의원,치과,02-805-2871,서울특별시 금천구 금하로 749,10:00~19:00,10:00~14:00,-,-,37.4502325,126.9131549
3446,지앤미치과의원,치과,02-806-3636,"서울특별시 금천구 금하로 747-1, 3층 (시흥동,리빙스톤하우스)",10:00~21:00,10:00~14:00,-,-,37.4502598,126.9128749
7569,김재연내과의원,의원,02-802-7503,"서울특별시 금천구 금하로 763, 201호 (시흥동,벽산2차 중심상가)",09:00~18:00,09:00~13:00,-,-,37.4503785,126.9145376
12493,우정이비인후과의원,의원,02-809-3322,서울특별시 금천구 금하로 763,09:00~19:00,09:00~15:00,-,-,37.4503785,126.9145376
3520,우리치과의원,치과,02-893-5279,"서울특별시 금천구 금하로 763, 209호 (시흥동, 벽산아파트중심상가)",09:30~18:30,09:30~14:30,-,-,37.4503785,126.9145376
13350,호수한의원,한의원,02-809-7461,"서울특별시 금천구 금하로 763 (시흥동, 벽산아파트 중심상가 309~310)",09:30~19:00,09:30~16:00,-,-,37.4503785,126.9145376
6170,금천연세정형외과의원,의원,02-809-7622,서울특별시 금천구 금하로 724-1 (시흥동),09:00~19:00,09:00~14:00,-,-,37.4504238,126.910141
582,한양내과의원,의원,02-806-1136,서울특별시 금천구 금하로 724,09:00~18:30,09:00~16:00,-,-,37.4504549,126.9100261
13352,벽산한의원,한의원,02-807-7533,"서울특별시 금천구 금하로 724, 2층 (시흥동)",09:30~19:00,09:30~16:00,-,-,37.4504549,126.9100261
47,이성림산부인과의원,의원,02-807-3390,서울특별시 금천구 금하로 720,09:30~18:30,09:30~14:00,-,-,37.4504604,126.9094608
3024,서울메디이비인후과의원,의원,02-805-7100,"서울특별시 금천구 금하로 720, 2층 203호 (시흥동, 에벤에셀프라자)",09:00~18:30,09:00~15:00,-,-,37.4504604,126.9094608
9060,현대재활의학과의원,의원,02-892-7004,서울특별시 금천구 금하로 720 (시흥동),09:00~19:00,09:00~16:00,-,-,37.4504604,126.9094608
10623,내일내과의원,의원,02-802-7555,"서울특별시 금천구 금하로 720, 307호 (시흥동, 에벤에셀프라자 )",08:30~18:30,08:30~15:00,-,-,37.4504604,126.9094608
14900,서울연세웰소아청소년과의원,의원,02-893-9331,"서울특별시 금천구 금하로 720, 208호 (시흥동)",08:30~18:00,08:30~13:00,-,-,37.4504604,126.9094608
8465,금천보스톤치과의원,치과,02-806-7528,"서울특별시 금천구 금하로 720, 302호 (시흥동, 에벤에셀프라자)",09:30~18:30,09:30~13:00,-,-,37.4504604,126.9094608
13572,해동한의원,한의원,02-803-8629,"서울특별시 금천구 금하로 720, 3층 (시흥동, 에벤에셀프라자)",09:30~17:30,09:30~15:00,-,09:30~15:00,37.4504604,126.9094608
13461,미사랑의원,의원,02-805-5111,"서울특별시 금천구 시흥대로 187, 2,3층 (시흥동)",09:00~19:00,09:00~16:00,-,-,37.4505354,126.9017473
16279,부강한의원,한의원,02-806-2585,"서울특별시 금천구 금하로24길 5, 2층 (시흥동)",09:00~19:00,09:00~16:00,-,-,37.4507841,126.9086837
7632,소구영치과의원,치과,02-805-7527,"서울특별시 금천구 탑골로 2, 2층 (시흥동)",09:30~18:30,09:30~13:00,-,-,37.4507962,126.9102489
13355,은행나무한의원,한의원,02-808-1141,서울특별시 금천구 탑골로 1 (시흥동),09:30~19:00,09:30~17:00,-,09:30~17:00,37.4508881,126.9098052
4785,연세이비인후과의원,의원,02-894-2660,"서울특별시 금천구 금하로 710, 2층 (시흥동)",09:00~19:00,09:00~16:00,-,-,37.4509072,126.908692
617,우리비뇨기과의원,의원,02-808-0302,서울특별시 금천구 금하로 715-1 (시흥동),09:00~19:00,09:00~16:00,-,-,37.4509502,126.9094936
7453,박재관치과의원,치과,02-802-1323,"서울특별시 금천구 시흥대로 192, (시흥동)",09:30~18:00,09:30~14:00,-,-,37.4511243,126.9023412
3690,서울삼성의원,의원,02-802-1309,"서울특별시 금천구 금하로 711, 2,5층 (시흥동)",09:00~19:00,09:00~15:00,-,10:00~15:00,37.4511462,126.9090165
7570,미소나눔치과의원,치과,02-804-2275,"서울특별시 금천구 금하로 711, 4층 (시흥제5동)",09:30~18:30,09:30~14:30,-,-,37.4511462,126.9090165
7631,본치과의원,치과,02-802-9275,"서울특별시 금천구 은행나무로 51, 2층 (시흥동)",14:00~18:00,10:00~14:00,-,-,37.4511561,126.9080783
9540,덕회당한의원,한의원,02-895-2311,서울특별시 금천구 탑골로 7 (시흥동),10:00~21:00,10:00~14:00,-,-,37.4512488,126.9102335
5149,김승국소아과의원,의원,02-806-4339,"서울특별시 금천구 금하로 707, (시흥동)",09:00~19:00,09:00~16:00,-,-,37.4512748,126.9087322
2917,박사한한의원,한의원,02-895-7510,"서울특별시 금천구 탑골로2길 8, 2,4층 (시흥동)",09:30~19:00,09:30~15:00,-,-,37.4512905,126.9107847
9417,자연한의원,한의원,02-807-7500,"서울특별시 금천구 금하로23길 4, 2층 (시흥동)",10:00~19:00,10:00~16:00,-,-,37.4513757,126.9088007
3987,서울훈치과의원,치과,02-892-2080,서울특별시 금천구 시흥대로 196,09:30~18:30,09:30~14:00,-,-,37.4514395,126.9022415
