NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,위도,경도
3568,명신약국,02-807-8767,서울특별시 금천구 탑골로 18,09:00~08:00,-,-,-,-,-,-,-,37.4517654,126.9111766
3589,현대온누리약국,02-895-8859,서울특별시 금천구 독산로 142,09:00~21:30,-,-,-,-,-,-,-,37.460098,126.9051113
3383,미래온누리약국,02-857-8788,서울특별시 금천구 시흥대로 415,09:00~09:30,-,-,-,-,-,-,-,37.4706818,126.8976658
2253,새종로약국,02-866-6245,서울특별시 관악구 난곡로 264,09:00~18:00,-,-,-,-,-,-,-,37.4775588,126.9156741
3579,하얀약국,02-867-4175,서울특별시 금천구 남부순환로 1290 1층,09:00~20:30,-,-,-,-,-,-,-,37.4783845,126.8940721
3514,정약국,02-2681-9577,서울특별시 구로구 개봉로 57-1 (개봉동),09:00~18:00,-,-,-,-,-,-,-,37.4908359,126.8557391
3540,세진약국,02-533-3528,서울특별시 서초구 서초중앙로 125 (서초동),09:00~18:00,-,-,-,-,-,-,-,37.493014,127.0134408
1948,다솜약국,02-596-0693,서울특별시 서초구 신반포로 41,10:00~18:00,-,-,-,-,-,-,-,37.5019947,126.9890273
3584,한울약국,02-517-2886,서울특별시 서초구 사평대로57길 57,09:00~18:00,-,-,-,-,-,-,-,37.5067747,127.0222902
3552,진약국,02-3445-8572,서울특별시 강남구 봉은사로 333 (논현동) 1층일부,10:00~18:00,-,-,-,-,-,-,-,37.5106139,127.0428544
1399,우리들약국,02-484-3230,"서울특별시 송파구 백제고분로 466, 세나빌딩 1층 (방이동)",09:00~18:00,-,-,-,-,-,-,-,37.5119622,127.1136024
162,3층파란문약국,02-796-9008,"서울특별시 용산구 한강대로 69, 3층 305-1호 (한강로2가, 용산푸르지오써밋)",09:00~18:00,-,-,-,-,-,-,-,37.5270407,126.9648917
167,공감365온누리약국,02-111-1234,"서울특별시 용산구 한강대로 100, 아모레퍼시픽 지하1층 B106-2호 (한강로2가)",09:00~10:00,-,-,-,-,-,-,-,37.5287919,126.9686731
